code,name,origin_city_code,destination_city_code,departure_date,return_date,adults,children_ages,transport_type,flight_fare_type,rail_class,accommodation_type,stars,meal_type,cancellation_filter,active_from,active_until,priority,tags,notes
,,MOW,LED,2026-08-25,2026-08-28,1,,AVIA,CHECKED_BAGGAGE,,HOTEL,4,BREAKFAST,ANY,,2026-08-28,1,challenge;CS11;avia;single-traveler;baggage,"[CS11] Один взрослый, багажный тариф: проверка пересчета цены на 1 пассажира"
,,LED,MOW,2026-08-18,2026-08-22,2,,RAIL,,COMPARTMENT,HOTEL,3,ANY,ANY,,2026-08-22,1,challenge;CS12;rail;lead-time,[CS12] Ближний горизонт 14 дней: цена должна быть выше дальнего горизонта
,,MOW,AER,2026-09-13,2026-09-17,2,,AVIA,CHEAPEST,,HOTEL,4,ANY,FREE_CANCELLATION,,2026-09-17,1,challenge;CS13;avia;cancellation,[CS13] Свободная отмена как жесткий фильтр: неклассифицированные условия исключаются
,,MOW,AER,2026-09-08,2026-09-12,2,,AVIA,CHEAPEST,,APARTMENT,NOT_APPLICABLE,NO_MEALS,ANY,,2026-09-12,1,challenge;CS14;accommodation;stars-na,"[CS14] Апартаменты: звездность неприменима, фильтр по звездам не применяется"
,,LED,KRR,2026-09-08,2026-09-11,2,,AVIA,CHEAPEST,,HOSTEL,NOT_APPLICABLE,NO_MEALS,ANY,,2026-09-11,1,challenge;CS15;accommodation;budget,[CS15] Хостел без питания: минимальная ценовая полка
,,MOW,KRR,2026-09-23,2026-09-28,2,,AVIA,CHEAPEST,,GUEST_HOUSE,NOT_APPLICABLE,ANY,ANY,,2026-09-28,1,challenge;CS16;accommodation;small-sample,[CS16] Гостевой дом: тип размещения с ограниченным предложением
,,MOW,AER,2026-10-13,2026-10-20,2,,AVIA,CHEAPEST,,SANATORIUM,3,FULL_BOARD,ANY,,2026-10-20,1,challenge;CS17;accommodation;meal;small-sample,"[CS17] Санаторий с полным пансионом: редкое сочетание типа и питания, выборка заведомо узкая — допустим PARTIAL_SUCCESS"
,,LED,AER,2026-09-13,2026-09-17,2,,AVIA,CHEAPEST,,HOTEL,UNRATED,ANY,ANY,,2026-09-17,1,challenge;CS18;accommodation;unrated,[CS18] Гостиница без официальной классификации: UNRATED не равно «звезды неизвестны»
,,MOW,AER,2026-09-28,2026-10-05,2,7,AVIA,CABIN_BAGGAGE,,HOTEL,4,BREAKFAST,ANY,,2026-10-05,1,challenge;CS19;family;capacity,[CS19] Семейный шаблон 2+1 (7 лет): вместимость номера обязана быть подтверждена
,,MOW,KGD,2026-10-08,2026-10-14,2,4;11,AVIA,CHECKED_BAGGAGE,,HOTEL,4,BREAKFAST,ANY,,2026-10-14,1,challenge;CS20;family;capacity;multi-child,[CS20] Массив возрастов детей 2+2: проверка поддержки нескольких детей моделью
,,LED,MOW,2026-09-18,2026-09-23,2,7,RAIL,,COMPARTMENT,APARTMENT,NOT_APPLICABLE,ANY,ANY,,2026-09-23,1,challenge;CS21;family;rail,[CS21] Семья на поезде в апартаментах: комбинация редких параметров
,,MOW,UUS,2026-10-03,2026-10-07,2,,RAIL,,COMPARTMENT,HOTEL,3,ANY,ANY,,2026-10-07,1,challenge;CS22;negative;unsupported;no-rail,[CS22] ЖД на Сахалин: остров без ЖД-связи — ожидается UNSUPPORTED без внешних запросов
,,MOW,MOW,2026-09-03,2026-09-08,2,,AVIA,CHEAPEST,,HOTEL,3,ANY,ANY,,2026-09-08,1,challenge;CS23;negative;unsupported;same-city,[CS23] Совпадение городов отправления и назначения — ожидается UNSUPPORTED
,,MOW,AER,2026-07-25,2026-07-30,2,,AVIA,CHEAPEST,,HOTEL,3,ANY,ANY,,2026-07-30,1,challenge;CS24;negative;unsupported;past-date,"[CS24] Дата в прошлом — ожидается UNSUPPORTED, внешние API не вызываются"
,,MOW,AER,2027-09-08,2027-09-13,2,,AVIA,CHEAPEST,,HOTEL,3,ANY,ANY,,2027-09-13,1,challenge;CS25;negative;unsupported;horizon,"[CS25] Дата за пределами горизонта всех источников — ожидается UNSUPPORTED на этапе валидации, внешние запросы не выполняются"
,,AER,KGD,2026-10-18,2026-10-23,2,,AVIA,CABIN_BAGGAGE,,HOTEL,4,BREAKFAST,ANY,,2026-10-23,1,challenge;CS26;single-source;small-sample,[CS26] Редкое межрегиональное направление: вероятен единственный источник и статус COMPLETE_SINGLE_SOURCE
,,KGD,AER,2026-10-23,2026-10-26,2,,AVIA,CHEAPEST,,HOSTEL,NOT_APPLICABLE,NO_MEALS,ANY,,2026-10-26,1,challenge;CS27;no-data;partial,[CS27] Хостел на редком направлении: вероятен NO_DATA по компоненту проживания и PARTIAL_SUCCESS
,,MOW,UUS,2026-11-12,2026-11-16,2,,AVIA,CHECKED_BAGGAGE,,HOTEL,5,BREAKFAST,FREE_CANCELLATION,,2026-11-16,1,challenge;CS28;disagreement;small-sample,[CS28] 5★ на дальнем направлении: ожидается высокое межисточниковое расхождение и снижение Quality Score
,,LED,KGD,2026-09-23,2026-09-30,2,7,AVIA,CABIN_BAGGAGE,,HOTEL,4,BREAKFAST,ANY,,2026-09-30,1,challenge;CS29;family;capacity;small-sample,[CS29] Семья в эксклав: сочетание подтверждения вместимости и узкой выборки
,,KRR,MOW,2026-08-29,2026-09-02,2,,RAIL,,RESERVED_SEAT,HOTEL,3,ANY,ANY,,2026-09-02,1,challenge;CS30;rail;reverse,[CS30] Обратное ЖД-направление в плацкарте: проверка симметрии маршрута
